folder,recursive_chunks,semantic_chunks,diff_count,recursive_mean_length,semantic_mean_length,recursive_std_length,semantic_std_length,recursive_short_chunks,semantic_short_chunks,recursive_long_chunks,semantic_long_chunks
ISMT_161,309,487,178,459.126213592233,290.64681724845997,129.43215238246188,170.75549417599885,0,83,0,0
CSCI_80,1237,1307,70,207.66127728375102,183.56847742922724,295.4737119645693,290.67685259574665,710,759,0,1
CSCI_83,754,758,4,409.1193633952255,401.87862796833775,223.47426107185765,273.819225176609,56,63,0,3
CSCI_89,1813,2426,613,610.2007722007722,423.56512778235776,320.84525242524376,416.71345946947116,193,795,0,4
CSCI_25,743,769,26,284.1157469717362,274.3068920676203,158.1016853762622,156.59480943012892,110,122,0,0
ISMT_136,451,661,210,433.97117516629714,295.7806354009077,168.39860533387352,196.91494546035923,0,151,0,0
CSCI_101,564,583,19,159.22695035460993,153.72898799313893,166.95739743526286,158.49289760504135,275,288,0,0
CSCI_109A,1644,2183,539,270.26277372262774,202.41594136509391,180.73029724400433,144.50227215115737,306,609,0,0
CSCI_89B,1704,2274,570,610.4612676056338,425.2088830255057,321.2456208873827,416.86339289130166,182,742,0,4
STAT_109,283,294,11,192.5017667844523,184.5748299319728,179.07198470471943,169.09168962673542,119,126,0,0
